Time (s),X (m),Y (m),Z (m),q1 (norm),q2 (i),q3 (j),q4 (k)
1735693752.0, 3843567.7020889157, 1967091.787006183, 5119796.566813351, 0.6341271476804579, 0.36220732078049267,-0.060958268126721143,0.6804209777003167
1735693753.0, 3844049.792455286, 1960527.8593661992, 5122803.872013813, 0.6340501373562049, 0.36177119309841216,-0.061354681068963975,0.6806890848791795
1735693754.0, 3844525.8467483874, 1953961.271697756, 5125804.381961868, 0.6339728368337451, 0.3613349355158935,-0.061751023378223864,0.6809569132070257
1735693755.0, 3844995.8654359947, 1947392.0343113493, 5128798.094656175, 0.6338952462627652, 0.36089854813533057,-0.062147295017327284,0.6812244625975407
1735693756.0, 3845459.848991679, 1940820.1575128238, 5131785.008100818, 0.633817365757655, 0.36046203108282027,-0.06254349591710895,0.6814917329873793
1735693757.0, 3845917.7978942, 1934245.6516045877, 5134765.120305293, 0.6337391954423922, 0.36002538447869775,-0.06293962601630412,0.6817587243064243
1735693758.0, 3846369.7126277755, 1927668.5268850736, 5137738.429284497, 0.6336607354464779, 0.35958860843541485,-0.06333568526250315,0.6820254364825696
1735693759.0, 3846815.593681964, 1921088.7936489638, 5140704.933058724, 0.6335819859002457, 0.35915170307428684,-0.0637316735949292,0.6822918694388271
1735693760.0, 3847255.4415519317, 1914506.462186648, 5143664.629653646, 0.6335029469120234, 0.3587146685137343,-0.06412759094978931,0.6825580231202621
1735693761.0, 3847689.2567378506, 1907921.542785437, 5146617.517100308, 0.6334236186267281, 0.35827750486695825,-0.06452343727757583,0.6828238974391675
1735693762.0, 3848117.0397456503, 1901334.0457280376, 5149563.593435116, 0.6333440011581274, 0.3578402122596552,-0.06491921250876621,0.6830894923318763
1735693763.0, 3848538.791086361, 1894743.9812938722, 5152502.856699829, 0.6332640946410443, 0.3574027907989837,-0.0653149165967658,0.6833548077225431
1735693764.0, 3848954.5112766004, 1888151.3597581019, 5155435.304941548, 0.6331838991901664, 0.35696524061325013,-0.06571054946960724,0.683619843545127
1735693765.0, 3849364.200838183, 1881556.1913923987, 5158360.936212705, 0.6331034149361907, 0.3565275618146103,-0.06610611107466637,0.6838845997251632
1735693766.0, 3849767.860298334, 1874958.4864645167, 5161279.748571052, 0.6330226420018327, 0.35608975452169717,-0.06650160135101468,0.6841490761927899
1735693767.0, 3850165.490189575, 1868358.2552385177, 5164191.740079653, 0.6329415805234888, 0.35565181885369124,-0.0668970202405604,0.6844132728647386
1735693768.0, 3850557.091049988, 1861755.5079742265, 5167096.908806873, 0.6328602306031386, 0.3552137549294695,-0.06729236767670446,0.6846771896903768
